model,accuracy,balanced_accuracy,macro_f1,weighted_f1,mean_R_total,R_format_soft,R_outcome,R_issues,R_rules,R_authority,format_valid_rate,unknown_rate,truncation_rate,allowed_recall,dismissed_recall,pred_allowed,pred_dismissed,pred_unknown
Qwen3-4B fresh SFT,0.5484444444444444,0.5484444444444445,0.5484610521544475,0.5484610521544475,0.37983784510282564,0.9653938333332953,0.5484444444444444,0.36209541446208277,0.22285153952418119,0.07286649661616615,0.996,0.004,0.004,0.49955555555555553,0.5973333333333334,2020,2462,18
Qwen3-4B SFT + original R0 GRPO,0.5466666666666666,0.5466666666666666,0.5459804416693448,0.5459804416693448,0.3866623747162321,0.9660018888888511,0.5466666666666666,0.3742606701940056,0.23499343126816868,0.07431724903234681,0.9977777777777778,0.0022222222222222222,0.0024444444444444444,0.49333333333333335,0.6,2005,2485,10
