component,Original_SFT_mean,SFT10K_mean,GRPO_mean,SFT10K_minus_Original_mean,GRPO_minus_SFT10K_mean,SFT10K_improved_cases,SFT10K_worsened_cases,GRPO_improved_over_SFT10K_cases,GRPO_worsened_vs_SFT10K_cases
reward,0.26552361916150474,0.33751679669952883,0.30893776816024104,0.07199317753802399,-0.028579028539287742,2543,1479,1772,2117
R_outcome,0.386,0.5518,0.4778,0.1658,-0.074,1352,523,584,954
R_issues,0.305045873015873,0.32870730158730155,0.32439968253968254,0.023661428571428573,-0.004307619047619048,719,539,621,637
R_rules,0.19592663970799845,0.2098374465782378,0.2109950378073524,0.013910806870239373,0.0011575912291145827,1133,864,971,949
R_authority,0.07139423761275554,0.07438588857828861,0.07281850648890663,0.002991650965533086,-0.0015673820893819916,392,278,298,355
R_reasoning,0.27509997017208754,0.35007870524876306,0.31967147193311063,0.07497873507667553,-0.030407233315652468,2418,1316,1553,1953
