model,accuracy,balanced_accuracy,macro_f1,weighted_f1,format_valid_rate,unknown_rate,truncation_rate,pred_allowed,pred_dismissed,pred_other,pred_unknown
sft_v2_full5k,0.386,0.4757037037037037,0.37503346866556875,0.3992329177591112,0.9966,0.0032,0.0032,1333,1758,1893,16
grpo_v2_full5k,0.4778,0.38451851851851854,0.3838031766990408,0.4497568050999964,0.995,0.0048,0.0036,1485,3387,104,24
