key,tensor_type,numel,start_l2,current_l2,delta_l2,relative_delta,delta_mean,delta_std,delta_max_abs
model.layers.13.mlp.down_proj.lora_A.weight,lora_A,98304,2.65964937210083,2.6596407890319824,0.0006016101106069982,0.00022619903093910174,6.070734470675632e-10,1.918797124744742e-06,5.271285772323608e-06
model.layers.3.mlp.gate_proj.lora_B.weight,lora_B,98304,0.915464460849762,0.9154640436172485,0.0006012512603774667,0.0006567718203056915,6.4609131378290385e-09,1.9176436580892187e-06,5.282472557155415e-06
model.layers.19.mlp.down_proj.lora_A.weight,lora_A,98304,2.723987340927124,2.7239911556243896,0.0005994225502945483,0.00022005335387885154,3.5464566838783185e-09,1.9118160707876086e-06,5.307607352733612e-06
model.layers.9.mlp.down_proj.lora_A.weight,lora_A,98304,2.608511209487915,2.6085195541381836,0.0005993667873553932,0.0002297735141698152,-8.509418059077234e-09,1.911622803163482e-06,5.116802640259266e-06
model.layers.5.mlp.down_proj.lora_A.weight,lora_A,98304,2.62195086479187,2.621950149536133,0.0005990136414766312,0.00022846104765742082,-7.335124951879379e-09,1.9105018509435467e-06,5.3336843848228455e-06
model.layers.2.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9168171286582947,0.9168142676353455,0.0005978419212624431,0.0006520841535076334,4.275383602703187e-09,1.9067757648372208e-06,5.236215656623244e-06
model.layers.8.mlp.down_proj.lora_A.weight,lora_A,98304,2.6069259643554688,2.606933116912842,0.0005973564693704247,0.00022914209208013084,1.438296259870242e-09,1.9052296238442068e-06,5.138106644153595e-06
model.layers.3.mlp.up_proj.lora_B.weight,lora_B,98304,0.7187556624412537,0.718750536441803,0.0005948887555859983,0.0008276647916281572,-2.4317128310968883e-09,1.897359993563441e-06,5.439273081719875e-06
model.layers.10.mlp.down_proj.lora_A.weight,lora_A,98304,2.630873203277588,2.630877733230591,0.0005917088710702956,0.0002249096879063325,-5.007194658901426e-11,1.8872173086492694e-06,5.144625902175903e-06
model.layers.20.mlp.down_proj.lora_A.weight,lora_A,98304,2.6942355632781982,2.694244146347046,0.0005911698681302369,0.00021942026012414955,-7.061741857938841e-09,1.885485971797607e-06,5.168141797184944e-06
model.layers.0.mlp.up_proj.lora_B.weight,lora_B,98304,0.8048588037490845,0.8048644065856934,0.0005899878451600671,0.0007330327287368485,4.196684333379608e-09,1.8817246427715872e-06,5.283800419420004e-06
model.layers.18.mlp.down_proj.lora_A.weight,lora_A,98304,2.650712728500366,2.6507065296173096,0.0005886512226425111,0.00022207280944228877,-8.289725350607569e-09,1.8774471755023114e-06,5.400273948907852e-06
model.layers.0.mlp.down_proj.lora_A.weight,lora_A,98304,2.6630523204803467,2.663055896759033,0.0005869443994015455,0.00022040287939054676,-3.2233795632663487e-09,1.8720171510722139e-06,5.237758159637451e-06
model.layers.17.mlp.down_proj.lora_A.weight,lora_A,98304,2.6615254878997803,2.66152286529541,0.0005835075280629098,0.0002192380011823061,-2.0525833477336164e-08,1.860945872067532e-06,5.2265822887420654e-06
model.layers.14.mlp.down_proj.lora_A.weight,lora_A,98304,2.623664379119873,2.623657464981079,0.0005818251520395279,0.00022176051047912817,1.303943175656741e-08,1.8556474969955161e-06,5.267094820737839e-06
model.layers.1.mlp.gate_proj.lora_B.weight,lora_B,98304,0.8593052625656128,0.8593084216117859,0.0005795230972580612,0.0006744088771524443,7.657514622394501e-10,1.8483531221136218e-06,5.325302481651306e-06
model.layers.16.mlp.down_proj.lora_A.weight,lora_A,98304,2.679671049118042,2.679666042327881,0.0005764247616752982,0.00021511026954782993,1.9342640822372914e-09,1.8384683926342404e-06,5.2241375669837e-06
model.layers.27.mlp.down_proj.lora_A.weight,lora_A,98304,2.5256543159484863,2.525653839111328,0.0005746570532210171,0.00022752799129805297,1.217712242151947e-08,1.8327909856452607e-06,5.144625902175903e-06
model.layers.24.mlp.down_proj.lora_A.weight,lora_A,98304,2.6938235759735107,2.69382381439209,0.0005746414535678923,0.00021331814699862992,-2.5688089433373307e-09,1.8327804127693526e-06,5.125999450683594e-06
model.layers.23.mlp.down_proj.lora_A.weight,lora_A,98304,2.6632416248321533,2.6632416248321533,0.0005726110539399087,0.00021500529602754188,4.540595899271693e-09,1.8263013998875977e-06,5.3562980610877275e-06
model.layers.25.mlp.down_proj.lora_A.weight,lora_A,98304,2.7095184326171875,2.7095181941986084,0.0005692649865522981,0.0002100982151291112,4.920140295183728e-09,1.8156263195123756e-06,5.239155143499374e-06
model.layers.6.mlp.down_proj.lora_A.weight,lora_A,98304,2.545684337615967,2.545681953430176,0.0005608099745586514,0.0002202983167519701,7.048282402166706e-09,1.7886532077682205e-06,5.3371768444776535e-06
model.layers.21.mlp.down_proj.lora_A.weight,lora_A,98304,2.7140724658966064,2.71407151222229,0.000559005537070334,0.00020596559012128803,-1.0071658174126696e-08,1.7828834870670107e-06,5.1246024668216705e-06
