model,accuracy,balanced_accuracy,macro_f1,weighted_f1,allowed_recall,dismissed_recall,mean_R_total_fixed_R0_score,R_issues,R_rules,R_authority,format_valid_rate,unknown_rate,pred_allowed,pred_dismissed,pred_unknown
Fresh SFT,0.5115555555555555,0.5115555555555555,0.4616638605924146,0.4616638605924146,0.2048888888888889,0.8182222222222222,0.35575285892018416,0.31195661375661476,0.19865809870089404,0.07047352905060246,0.9964444444444445,0.0035555555555555557,863,3621,16
R0 GRPO (12.75% effective outcome),0.5173333333333333,0.5173333333333333,0.4722592178877623,0.4722592178877623,0.22311111111111112,0.8115555555555556,0.36117760224917683,0.32275238095238223,0.20549944629569922,0.07079044837016894,0.9971111111111111,0.0028888888888888888,918,3569,13
R1 GRPO (35% outcome),0.5182222222222223,0.5182222222222223,0.46175610223948593,0.4617561022394859,0.192,0.8444444444444444,0.3579078898492588,0.3190380952380962,0.198279266661511,0.0703077585073728,0.996,0.004,774,3708,18
