reward_call_index,case_id,max_correct_reward,max_wrong_reward,mean_correct_reward,mean_wrong_reward
1,in_abs_train_3287,0.39999999999999997,0.05,0.39909999999999995,0.04925000000000001
1,in_abs_train_4573,0.6416893939393938,0.15191666666666667,0.47698787878787874,0.08775
1,in_abs_train_6396,0.49774999999999997,0.04775000000000001,0.42275,0.04775000000000001
1,sc_1961_insc_309,0.5125,0.155,0.47259523809523807,0.10970833333333332
1,sc_1990_insc_76,0.39999999999999997,0.05,0.39865,0.04850000000000001
1,sc_1997_insc_577,0.720826923076923,0.25684090909090906,0.6370461538461538,0.25381060606060607
1,sc_1997_insc_91,0.5691785714285714,0.12275,0.5001309523809524,0.08525
1,sc_2008_insc_111,0.52,0.25275,0.48147517482517477,0.1848560606060606
1,sc_2009_insc_440,0.5499999999999999,0.1895625,0.5147916666666666,0.16865625
1,sc_2020_insc_132,0.39775,0.12275,0.3971275,0.09275
1,sc_2021_insc_164,0.48571428571428565,0.22142857142857142,0.4781607142857143,0.11372321428571427
1,sc_2022_insc_904,0.49999999999999994,0.12275,0.4129999999999999,0.12275
2,in_abs_train_1208,0.49999999999999994,0.30275,0.46499999999999997,0.16798611111111109
2,in_abs_train_1818,0.5777499999999999,0.27499999999999997,0.5226025641025641,0.2021
2,sc_1968_insc_335,0.5394166666666665,0.18108333333333335,0.45608333333333323,0.11733333333333333
2,sc_1968_insc_338,0.600826923076923,0.1950227272727273,0.5865611888111887,0.12939160839160838
2,sc_1996_insc_1245,0.39775,0.14775,0.39775,0.06675
2,sc_1999_insc_25,0.5677499999999999,0.20846153846153848,0.5141602564102563,0.1823076923076923
2,sc_2001_insc_191,0.54775,0.27499999999999997,0.5051249999999999,0.15777083333333333
2,sc_2003_insc_425,0.47274999999999995,0.125,0.42274999999999996,0.0782
2,sc_2006_insc_448,0.45775,0.10775000000000001,0.4281249999999999,0.07775000000000001
2,sc_2012_insc_97,0.5068409090909091,0.25802840909090907,0.4647954545454545,0.15071732954545453
2,sc_2016_insc_1162,0.39999999999999997,0.05,0.39865,0.049249999999999995
2,sc_2021_insc_126,0.5777499999999999,0.20890384615384613,0.5617916666666666,0.13925201625859518
3,in_abs_train_103,0.6245454545454545,0.2808269230769231,0.5601412337662337,0.2121136988011988
3,in_abs_train_6142,0.5558269230769229,0.13775,0.5043741258741258,0.07831666666666667
