reward_calls,n_prompts,auc,mean_p_allowed_true_allowed,mean_p_allowed_true_dismissed,separation
0-99,1188,0.5151302588171275,0.5085217251883919,0.49944885361552027,0.009072871572871621
100-199,1200,0.5215222222222221,0.5032440476190476,0.49087301587301585,0.012371031746031769
200-299,1200,0.5179222222222222,0.5064583333333333,0.4959523809523809,0.010505952380952421
300-399,1200,0.5218013888888888,0.5170357142857143,0.5009523809523809,0.01608333333333334
400-499,1200,0.5247555555555555,0.5235396825396825,0.505843253968254,0.017696428571428502
500-599,1200,0.5203111111111112,0.510327380952381,0.500079365079365,0.010248015873015937
600-699,1200,0.5218152777777778,0.504920634920635,0.49213888888888885,0.012781746031746144
700-799,1200,0.48479027777777783,0.5016527777777778,0.5135912698412699,-0.011938492063492068
800-899,420,0.4890362811791383,0.5089285714285714,0.5109977324263039,-0.0020691609977324665
