stage,gpu,samples,mean_util_pct,median_util_pct,p90_util_pct,max_util_pct,mean_memory_gib,peak_memory_gib,mean_power_w
sft,0,324,92.16358024691358,98.0,100.0,100.0,20.316680531442902,23.6640625,291.30157407407404
sft,1,324,92.04938271604938,98.0,100.0,100.0,20.520914713541668,23.6875,293.16555555555556
sft,2,324,92.37654320987654,98.0,100.0,100.0,21.16527717496142,23.66796875,287.5833950617284
