step,global_start_l2,global_current_l2,global_delta_l2,global_relative_delta,global_max_abs_delta,trainable_numel
0,34.54370801638878,34.54370801638878,0.0,0.0,0.0,17432576
25,34.54370801638878,34.54369073473704,0.0016132080519165972,4.670048887488376e-05,1.7154961824417114e-06,17432576
50,34.54370801638878,34.54366295834218,0.005072232067104329,0.0001468351939721665,6.4729247242212296e-06,17432576
75,34.54370801638878,34.543656565843264,0.009714585841154252,0.00028122591345854656,1.4833291061222553e-05,17432576
100,34.54370801638878,34.5436102979456,0.014880938538692106,0.0004307857897488033,2.1383166313171387e-05,17432576
125,34.54370801638878,34.54357352941147,0.020553964761996772,0.0005950132728149866,3.0479510314762592e-05,17432576
150,34.54370801638878,34.5436001138341,0.026300228661317284,0.0007613609010601731,4.292273661121726e-05,17432576
175,34.54370801638878,34.54369363668035,0.031026508418493894,0.0008981811797324654,5.1677285227924585e-05,17432576
200,34.54370801638878,34.54366895980148,0.03518592009507023,0.0010185912895736835,6.32420415058732e-05,17432576
225,34.54370801638878,34.543681598504676,0.03877116239195827,0.001122379866503151,7.123043178580701e-05,17432576
250,34.54370801638878,34.54375194704331,0.04120035811665028,0.0011927022454307264,7.545712287537754e-05,17432576
275,34.54370801638878,34.543791092021586,0.043899573484108376,0.0012708413776332534,8.18716362118721e-05,17432576
300,34.54370801638878,34.54383060243347,0.04604449861079537,0.0013329344547768354,8.672336116433144e-05,17432576
325,34.54370801638878,34.54387569886893,0.04815257453573797,0.0013939607905698096,9.3893613666296e-05,17432576
350,34.54370801638878,34.543793884226695,0.050010910846794134,0.0014477574562368105,9.596138261258602e-05,17432576
375,34.54370801638878,34.54373644492622,0.05144991661155468,0.0014894149923669164,0.00010248087346553802,17432576
400,34.54370801638878,34.54369690491163,0.05268104019085162,0.001525054582034385,0.00010919850319623947,17432576
425,34.54370801638878,34.54370712016115,0.05391538222428743,0.001560787342190017,0.00011574011296033859,17432576
450,34.54370801638878,34.54371356635642,0.05481046851287103,0.0015866990447831186,0.00012049940414726734,17432576
475,34.54370801638878,34.54367730608796,0.055359073623682906,0.00160258052196998,0.00012307753786444664,17432576
500,34.54370801638878,34.5436953946805,0.05595726821631937,0.0016198975567351145,0.00012379814870655537,17432576
525,34.54370801638878,34.54366533196529,0.05650493034063501,0.0016357517355643186,0.00012550153769552708,17432576
550,34.54370801638878,34.543640865791446,0.056842474977567434,0.001645523258551147,0.00012580910697579384,17432576
575,34.54370801638878,34.54365137724829,0.057049412992666304,0.0016515138723845167,0.00012831762433052063,17432576
600,34.54370801638878,34.543666930736784,0.05723931576341571,0.0016570113357911467,0.00013014301657676697,17432576
625,34.54370801638878,34.5436685734542,0.05745728082337683,0.0016633211696936829,0.00013192510232329369,17432576
650,34.54370801638878,34.54366096529669,0.057636247866322175,0.0016685020565533227,0.00013349996879696846,17432576
675,34.54370801638878,34.54365999001895,0.05769899144125349,0.001670318409763046,0.00013438868336379528,17432576
700,34.54370801638878,34.5436746321771,0.05774539310758695,0.001671661683806222,0.00013512163423001766,17432576
725,34.54370801638878,34.54368073047728,0.05778950022783571,0.001672938533420277,0.00013573607429862022,17432576
750,34.54370801638878,34.5436797898716,0.057807881222334635,0.001673470641742007,0.0001359416637569666,17432576
775,34.54370801638878,34.54367913575053,0.057814505118738355,0.001673662395806179,0.00013600988313555717,17432576
800,34.54370801638878,34.54367893122649,0.057816050923910754,0.0016737071450604185,0.000136055750772357,17432576
825,34.54370801638878,34.54367914308385,0.057816453237608326,0.0016737187915720605,0.00013606064021587372,17432576
834,34.54370801638878,34.54367913305446,0.05781645698447017,0.0016737189000393345,0.00013606064021587372,17432576
