reference_outcome,generated_binary,R_total,R_format_soft,R_format,R_outcome,R_issues,R_rules,R_authority,R_reasoning,count
allowed,allowed,0.3478443094734815,0.9673773981700119,0.9668756395120032,1.0,0.14178992303992305,0.10999024264054379,0.045356815318889215,0.2385149408799761,20328
allowed,dismissed,0.22154904333734315,0.9666626002587322,0.9659345924967659,0.0,0.14365666646132363,0.11217461971606035,0.04637200571789137,0.09005841564533333,19325
allowed,unknown,0.18454497646174262,0.6382302110817942,0.0,0.0,0.14898856640281444,0.1370653993545422,0.06204787446077108,0.1044828762346747,379
dismissed,allowed,0.23245159959387407,0.9668596191043001,0.9662714129841791,0.0,0.16311627694606418,0.12705238033952532,0.05625081506912829,0.10285018438615183,20163
dismissed,dismissed,0.3620625616557156,0.9667099820604819,0.9657491927216814,1.0,0.16761270906324724,0.13006173181455785,0.057161028551491896,0.25536007570193336,19510
dismissed,unknown,0.18956418008037967,0.654300139275766,0.0,0.0,0.17173365167794136,0.1328112940639567,0.057470107210040915,0.1075519519870762,359
