step,allowed,dismissed,unknown,dismissed_minus_allowed
1,0.4479166666666667,0.5416666666666666,0.010416666666666666,0.09374999999999994
2,0.5104166666666666,0.4583333333333333,0.03125,-0.052083333333333315
3,0.65625,0.3333333333333333,0.010416666666666666,-0.3229166666666667
4,0.4583333333333333,0.5416666666666666,0.0,0.08333333333333331
5,0.4791666666666667,0.5104166666666666,0.010416666666666666,0.031249999999999944
6,0.5520833333333334,0.4479166666666667,0.0,-0.10416666666666669
7,0.53125,0.4583333333333333,0.010416666666666666,-0.07291666666666669
8,0.4791666666666667,0.5104166666666666,0.010416666666666666,0.031249999999999944
9,0.53125,0.4583333333333333,0.010416666666666666,-0.07291666666666669
10,0.5520833333333334,0.4270833333333333,0.020833333333333332,-0.12500000000000006
11,0.5520833333333334,0.4479166666666667,0.0,-0.10416666666666669
12,0.4583333333333333,0.5416666666666666,0.0,0.08333333333333331
13,0.5520833333333334,0.4479166666666667,0.0,-0.10416666666666669
14,0.5104166666666666,0.4791666666666667,0.010416666666666666,-0.031249999999999944
15,0.53125,0.46875,0.0,-0.0625
16,0.5833333333333334,0.4166666666666667,0.0,-0.16666666666666669
17,0.53125,0.4583333333333333,0.010416666666666666,-0.07291666666666669
18,0.5520833333333334,0.4375,0.010416666666666666,-0.11458333333333337
19,0.46875,0.5208333333333334,0.010416666666666666,0.05208333333333337
20,0.46875,0.5208333333333334,0.010416666666666666,0.05208333333333337
21,0.5520833333333334,0.4375,0.010416666666666666,-0.11458333333333337
22,0.46875,0.53125,0.0,0.0625
23,0.5104166666666666,0.4895833333333333,0.0,-0.020833333333333315
24,0.4479166666666667,0.5,0.052083333333333336,0.052083333333333315
25,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
26,0.5104166666666666,0.4895833333333333,0.0,-0.020833333333333315
27,0.4791666666666667,0.5208333333333334,0.0,0.041666666666666685
28,0.40625,0.59375,0.0,0.1875
29,0.4479166666666667,0.5520833333333334,0.0,0.10416666666666669
30,0.4583333333333333,0.5208333333333334,0.020833333333333332,0.06250000000000006
31,0.46875,0.53125,0.0,0.0625
32,0.46875,0.5104166666666666,0.020833333333333332,0.04166666666666663
33,0.59375,0.3958333333333333,0.010416666666666666,-0.19791666666666669
34,0.5104166666666666,0.4895833333333333,0.0,-0.020833333333333315
35,0.46875,0.5208333333333334,0.010416666666666666,0.05208333333333337
36,0.4479166666666667,0.5520833333333334,0.0,0.10416666666666669
37,0.4583333333333333,0.53125,0.010416666666666666,0.07291666666666669
38,0.5520833333333334,0.4479166666666667,0.0,-0.10416666666666669
39,0.5208333333333334,0.4791666666666667,0.0,-0.041666666666666685
40,0.5625,0.4375,0.0,-0.125
41,0.46875,0.5208333333333334,0.010416666666666666,0.05208333333333337
42,0.4791666666666667,0.4895833333333333,0.03125,0.01041666666666663
43,0.5416666666666666,0.4583333333333333,0.0,-0.08333333333333331
44,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
45,0.46875,0.53125,0.0,0.0625
46,0.4791666666666667,0.5,0.020833333333333332,0.020833333333333315
47,0.4791666666666667,0.5104166666666666,0.010416666666666666,0.031249999999999944
48,0.4791666666666667,0.5208333333333334,0.0,0.041666666666666685
49,0.4895833333333333,0.5,0.010416666666666666,0.010416666666666685
50,0.6145833333333334,0.3854166666666667,0.0,-0.22916666666666669
51,0.4895833333333333,0.5,0.010416666666666666,0.010416666666666685
52,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
53,0.5520833333333334,0.4375,0.010416666666666666,-0.11458333333333337
54,0.59375,0.40625,0.0,-0.1875
55,0.4583333333333333,0.5104166666666666,0.03125,0.052083333333333315
56,0.5,0.4895833333333333,0.010416666666666666,-0.010416666666666685
57,0.5416666666666666,0.4583333333333333,0.0,-0.08333333333333331
58,0.59375,0.3854166666666667,0.020833333333333332,-0.20833333333333331
