model,accuracy,balanced_accuracy,macro_f1,weighted_f1,mean_R_total,mean_R_reasoning,mean_R_issues,mean_R_rules,mean_R_authority,format_valid_rate,unknown_rate,truncation_rate,allowed_recall,dismissed_recall,allowed_predictions,dismissed_predictions,unknown_predictions
Fresh binary SFT,0.5115555555555555,0.5115555555555555,0.4616638605924146,0.4616638605924146,0.35575285892018416,0.2482804320629651,0.31195661375661476,0.19865809870089404,0.07047352905060246,0.9964444444444445,0.0035555555555555557,0.003777777777777778,0.2048888888888889,0.8182222222222222,863,3621,16
Fresh binary SFT + GRPO,0.5173333333333333,0.5173333333333333,0.4722592178877623,0.4722592178877623,0.36117760224917683,0.25464596343040946,0.32275238095238223,0.20549944629569922,0.07079044837016894,0.9971111111111111,0.0028888888888888888,0.0033333333333333335,0.22311111111111112,0.8115555555555556,918,3569,13
